Синоптический_индекс_станции,Дата_по_Гринвичу,Сумма_осадков,Средняя_температура
29379,1995-01-05T09:00:00Z,21.2,-3.075
29430,1994-11-04T00:00:00Z,28.9,-6.875
31562,2008-11-07T00:00:00Z,21.3,-4.75
31677,1978-05-02T12:00:00Z,23.200000000000003,-1.4
31677,1995-09-11T06:00:00Z,28.6,-0.8
31677,2010-10-15T12:00:00Z,20.3,-1.425
31677,2012-10-14T21:00:00Z,22.4,-1.4
31707,1977-11-26T12:00:00Z,22,-6.15
31707,1987-03-07T03:00:00Z,627,-37.7
31707,1987-03-07T15:00:00Z,742,-40.9
31707,1987-03-08T03:00:00Z,422.2,-31.3
31707,1987-03-08T12:00:00Z,934.2,-24.900000000000002
31707,1987-03-08T21:00:00Z,415.9,-63.3
31707,1987-03-09T03:00:00Z,1439.9,-12.1
31707,1987-03-09T12:00:00Z,518.3,-37.7
31707,1987-03-09T21:00:00Z,415.9,-88.9
31707,1987-03-10T12:00:00Z,211.1,-76.1
31707,1987-03-10T18:00:00Z,313.5,-88.9
31707,1987-03-11T00:00:00Z,524.6,-18.5
31707,2013-11-18T12:00:00Z,29.3,-1.7000000000000002
31725,1983-11-16T00:00:00Z,22,-3.1
31725,1989-08-22T06:00:00Z,1139,-76.8
31725,1989-08-23T03:00:00Z,1350.1,-51.2
31725,1989-08-24T00:00:00Z,524.6,-64
31725,1989-08-24T18:00:00Z,211.1,-25.6
31725,1989-08-25T00:00:00Z,1862.1,-51.166666666666664
31725,1989-08-25T15:00:00Z,838.0999999999999,-64
31725,1989-08-26T06:00:00Z,1139,-51.1
31725,1990-09-29T15:00:00Z,415.9,-64
31725,1990-09-29T21:00:00Z,1862.1,-46.93333333333334
31725,1990-09-30T09:00:00Z,819.2,-25.6
31725,2007-02-14T00:00:00Z,21.4,-11.45
31725,2013-11-25T12:00:00Z,26,-2.2
31725,2015-12-03T00:00:00Z,20.9,-8.1
31725,2016-03-05T12:00:00Z,21.9,-3.225
31770,1978-04-07T12:00:00Z,25.6,-2.45
31770,1979-02-10T15:00:00Z,30.8,-1.9000000000000001
31770,1980-12-12T03:00:00Z,24,-3.325
31770,1980-12-12T15:00:00Z,35.5,-0.5
31770,1982-01-12T03:00:00Z,20.599999999999998,-4.9
31770,1982-12-23T00:00:00Z,29.400000000000002,-1.95
31770,1985-04-05T03:00:00Z,20.9,-0.725
31770,1986-04-15T18:00:00Z,26.3,-1.0666666666666667
31770,1988-07-08T21:00:00Z,211.1,-89.6
31770,1988-07-09T03:00:00Z,620.7,-76.8
31770,1988-07-09T09:00:00Z,1446.2,-19.200000000000003
31770,1988-07-10T03:00:00Z,518.3,-12.8
31770,1988-07-10T12:00:00Z,729.4,-76.8
31770,1988-07-11T00:00:00Z,415.9,-89.6
31770,1988-07-11T09:00:00Z,723.1,-51.2
31770,1988-11-24T21:00:00Z,49.2,-0.15000000000000002
31770,1989-11-28T00:00:00Z,20,-1.6500000000000001
31770,1989-12-27T00:00:00Z,27.9,-1.875
31770,1990-02-11T12:00:00Z,34.7,-4.6
31770,1991-01-03T00:00:00Z,24.2,-9.15
31770,1993-12-12T12:00:00Z,37.3,-6.525
31770,1994-02-22T12:00:00Z,20.5,-2.8
31770,1994-04-02T00:00:00Z,20.1,-0.875
31770,1994-04-12T21:00:00Z,31.8,-0.2
31770,1995-01-09T12:00:00Z,23.3,-5.475
31770,1996-01-03T12:00:00Z,23.8,-7.325
31770,1998-01-18T12:00:00Z,28.1,-10.25
31770,1998-12-26T00:00:00Z,23.1,-7.65
